latitude,longitude
21.2306,72.8570
21.2351,72.8604
21.2378,72.8653
21.2319,72.8628
21.2337,72.8549
21.2390,72.8597
21.2414,72.8612
21.2385,72.8520
21.2362,72.8497
21.2341,72.8475
21.2327,72.8513
21.2309,72.8491
21.2283,72.8502
21.2298,72.8530
21.2312,72.8556
21.2330,72.8578
21.2348,72.8600
21.2366,72.8623
21.2379,72.8646
21.2397,72.8668
21.2453,72.8764  // Ved Road
21.2478,72.8742  // Ved Road
21.2435,72.8701  // Ved Road
21.2448,72.8733  // Ved Road
21.2467,72.8789  // Ved Road
21.2240,72.8451  // Gurukul
21.2225,72.8429  // Gurukul
21.2211,72.8402  // Gurukul
21.2196,72.8378  // Gurukul
21.2169,72.8487  // Dabholi
21.2144,72.8509  // Dabholi
21.2178,72.8544  // Dabholi
21.2192,72.8577  // Dabholi
21.2122,72.8423  // Singanpore
21.2101,72.8399  // Singanpore
21.2087,72.8376  // Singanpore
21.2072,72.8352  // Singanpore
21.2058,72.8329  // Singanpore
